filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-02-27 , -2.171999999999997 , 2.8300000000000125 , -76 , 9 , 49 , -1407.999999999987
2008-02-28 , -1.407999999999987 , 1.6730000000000018 , -84 , 1 , 203 , -3170.000000000016
2008-02-29 , -3.170000000000016 , 3.434999999999974 , -92 , 0 , 0 , 28.999999999996362
2008-03-01 , 0.028999999999996362 , 0.0010000000000047748 , 2899 , -29999 , 29999 , -300.00000000001137
2008-03-03 , -0.7980000000000018 , 2.4609999999999843 , -32 , 14 , 63 , 21.99999999999136
2008-03-04 , 0.02199999999999136 , 1.9110000000000014 , 1 , 123 , 44 , 1868.9999999999998
2008-03-05 , 1.8689999999999998 , 3.218999999999994 , 58 , 16 , 31 , -822.0000000000027
2008-03-06 , -0.8220000000000027 , 1.5509999999999877 , -52 , 97 , 83 , 450.00000000001705
2008-03-07 , 0.45000000000001705 , 2.805000000000007 , 16 , 0 , 0 , 25.000000000005684
2008-03-09 , -0.3200000000000216 , 0.3200000000000216 , -100 , 82 , 665 , -2080.999999999989
2008-03-10 , -2.080999999999989 , 2.3930000000000007 , -86 , 134 , 30 , 3044.9999999999873
2008-03-11 , 3.0449999999999875 , 3.961999999999989 , 76 , 9 , 36 , -1139.00000000001
2008-03-12 , -1.13900000000001 , 1.8070000000000164 , -63 , -4 , 182 , -1669.0000000000111
2008-03-13 , -1.6690000000000111 , 3.219999999999999 , -51 , 14 , 137 , -4251.000000000005
2008-03-16 , -0.4449999999999932 , 0.4449999999999932 , -100 , -93 , 1615 , -5397.00000000002
2008-03-17 , -5.39700000000002 , 6.773000000000025 , -79 , 86 , 14 , 5648.000000000025
2008-03-18 , 5.648000000000025 , 6.856999999999999 , 82 , 20 , 64 , -3820.000000000022
2008-03-19 , -3.8200000000000216 , 5.822000000000003 , -65 , 28 , 22 , 1015.0000000000148
2008-03-20 , 1.0150000000000148 , 2.975999999999999 , 34 , 14 , 29 , -159.9999999999966
2008-03-23 , -0.35900000000000887 , 0.35900000000000887 , -100 , 935 , 56 , 3024.000000000001
2008-03-24 , 3.024000000000001 , 3.561000000000007 , 84 , 20 , 28 , 507.000000000005
2008-03-25 , 0.507000000000005 , 1.7210000000000036 , 29 , 19 , 170 , -1293.9999999999827
2008-03-26 , -1.2939999999999827 , 3.275999999999982 , -39 , 71 , 42 , 756.0000000000002
2008-03-27 , 0.7560000000000002 , 3.742999999999995 , 20 , 11 , 63 , -2112.9999999999995
2008-03-28 , -2.1129999999999995 , 2.7970000000000255 , -75 , 0 , 0 , -10.000000000019327
2008-03-29 , -0.010000000000019327 , 0.010000000000019327 , -100 , -319 , 319 , -31.999999999982265
2008-03-31 , -0.11899999999999977 , 2.9529999999999745 , -4 , 132 , 22 , 3477.0000000000036
2008-04-01 , 3.477000000000004 , 4.593999999999994 , 75 , 60 , 7 , 2215.0000000000036
